,artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
66,George McCrae,All Around The World - Sunshine Mix,-,+,+,+,-,=,+,-,+,-,+,+,-20.22160496,-14.98607336
67,Stray Kids,4419,+,+,+,+,-,=,+,+,-,-,+,+,30.7093556,-26.40762021
68,The Rolling Stones,It's Only Rock'n'Roll (But I Like It),+,+,+,+,-,=,+,+,+,-,+,+,5.314628895,13.17382737
69,Motion City Soundtrack,Over It Now,+,+,+,=,-,=,+,-,-,-,+,+,0.271916642,-2.119833437
70,Static-X,S.O.M.,+,+,+,+,-,=,+,-,+,+,+,+,1.95580717,-14.88204679
71,Say Anything,Overbiter,+,+,+,=,-,=,-,+,-,-,+,+,2.042158355,-7.894157157
72,The Monkees,What Would Santa Do,+,+,+,+,-,=,+,-,+,-,+,+,-13.08394645,7.36965628
73,Demi Lovato,Neon Lights,+,+,+,+,-,=,+,-,-,-,+,+,-6.262314544,9.174701118
74,Toots & The Maytals,Hit Meck - Radio Edit,+,+,+,+,-,=,+,+,-,+,+,+,-15.53991495,25.97652039
75,EXO,Touch It - Live,+,+,+,=,-,=,+,+,-,+,-,+,11.67289345,-4.444467277
76,Kid Rock,All Summer Long,+,+,+,+,-,=,-,-,-,-,+,+,-13.16532944,-14.95843072
77,Dwight Yoakam with Buck Owens,"Alright, I'm Wrong",+,+,+,+,-,=,-,-,-,-,+,+,-8.293762563,9.287031904
78,John Mellencamp,Lonely Ol' Night,+,+,+,+,-,=,-,-,+,-,+,+,22.4081132,13.5813552
79,Party-Wahnsinn,Pommes mit Senf (I Promised Myself),-,+,+,+,-,=,+,+,+,-,+,+,-23.64547958,10.96333101
80,No Doubt,Hella Good,+,+,+,=,-,=,-,-,+,-,+,+,-13.76730974,-2.748335826
81,EXO,Let Out the Beast - Chinese Version,+,+,+,+,-,=,+,-,+,-,+,+,7.140907591,6.97480676
82,R.E.M.,Shiny Happy People,+,-,+,+,-,=,-,-,+,+,+,+,-19.97007912,6.044218391
83,Alborosie,C'est la vie,+,+,+,+,-,-,+,-,-,+,+,+,-9.103795154,7.797179536
84,Lenny Kravitz,Where Are We Runnin'?,+,+,+,+,-,-,-,-,+,+,+,+,23.93919983,17.28249476
85,REO Speedwagon,Sleigh Ride,-,+,+,+,-,=,-,-,-,+,+,+,-23.78067193,11.982264
86,Darlene Love,Among The Believers,+,+,+,+,-,=,+,-,-,-,+,+,-18.16730233,7.671113204
87,Oscar Zia,Ballare Con Me,+,+,+,+,-,=,+,-,-,+,+,+,-18.42502207,9.628453126
88,The Escape Frame,"Nothin' But A ""G"" Thang",+,-,+,+,-,=,+,-,-,+,-,+,0.115607637,-16.23363938
89,Paula Abdul,It's All About Feeling Good,+,+,+,=,-,=,+,+,+,-,+,+,-12.10191045,-7.727964356
90,N.E.R.D,Baby Doll,=,+,+,+,-,=,+,-,+,+,+,+,-20.85948279,20.43535167
91,Donny Osmond,Don't Need No Money,-,+,+,=,-,=,+,+,-,-,+,+,-20.9582522,-1.764776444
92,Sigala,Easy Love,+,+,+,+,-,=,+,+,+,-,+,+,43.56096853,13.79562249
93,Chase Rice,"I Like Drinking, Cause It's Fun",+,+,+,=,-,=,+,+,-,+,+,+,12.67594301,-4.40423002
94,DREAMERS,DRUGS,-,+,+,+,-,=,+,-,+,-,-,+,-19.84302112,-17.85423778
95,Selena,Puede Ser,-,+,+,+,-,=,-,-,+,-,+,+,-23.51873258,10.00347622
96,Kevin Rudolf,Coffee And Donuts,-,+,+,+,-,=,+,-,+,-,+,+,-22.86392364,5.048134931
97,Groovy 69,Instant Reply - 132 BPM,=,+,+,+,-,=,+,-,+,+,+,+,-19.94894532,13.52419899
98,The Used,The Taste of Ink,+,+,+,+,-,=,+,-,-,+,-,+,-16.4836048,-20.37880534
99,Laura Branigan,Gloria,-,+,+,+,-,=,-,+,+,+,+,+,-23.82082859,12.29467213
100,Lacy Cavalier,Every Time It Rains,+,+,+,+,-,=,+,+,-,-,+,+,1.587984304,-12.09608631
101,Skid Row,Lamb,+,+,+,=,-,=,+,-,+,+,-,+,-6.776860057,-2.210091508
102,The Cab,I'll Run,-,+,+,+,-,=,+,-,-,+,+,+,-22.26426844,8.141099855
103,Fey,Te Pertenezco,+,+,+,+,-,=,+,-,+,-,+,+,-20.93036771,13.31780394
104,Jimmy Cliff,One More - Alternate Version,+,+,+,=,-,=,+,+,-,-,+,+,-5.222238945,1.297877924
105,Caravan,So Fresh,+,+,+,+,-,=,+,+,-,-,-,+,7.919934918,-14.21677087
106,Rascalz,Sharpshooter (Best of Da Best),-,+,+,+,-,=,+,-,-,+,-,+,-17.60364073,-19.54015069
107,Sech,Fabuloso,+,+,+,+,-,=,+,-,+,-,+,+,61.25596544,-20.92969027
108,Emarosa,So Bad,+,+,+,+,-,=,+,-,-,-,+,+,22.95228611,17.10009751
109,Belanova,Y Mi CorazÃ³n...,+,+,+,+,-,=,-,-,+,-,+,+,8.803309848,17.30671653
110,SUPER JUNIOR,I do ë‘ ë²ˆì§¸ ê³ ë°±,+,+,+,=,-,=,+,-,-,-,-,+,15.00244124,0.905745757
111,Jowell & Randy,Dile la Verdad - Remix,+,+,+,+,-,=,+,+,-,-,+,+,34.4235199,-8.689109194
112,Big D and the Kids Table,Put It in a Song,+,+,+,+,-,-,+,+,-,+,+,+,-10.20182254,-29.74957132
113,Mustard Plug,Skank by Numbers,+,+,+,+,-,=,+,-,+,+,+,+,-12.64438224,-18.90944091
114,Big D and the Kids Table,Freeze Up,+,+,+,+,-,=,+,-,-,-,-,+,-7.244468533,-21.60615068
115,Flyleaf,Set Me On Fire,+,+,+,+,-,=,+,-,-,+,-,+,30.49096301,-17.10483187
116,Bob Marley & The Wailers,Johnny Was,+,+,+,+,-,-,-,-,-,+,+,+,20.71482534,-27.08652984
117,Gabrielle Aplin,You Don't Like Dancing,+,+,+,=,-,=,-,+,-,-,+,+,3.497983612,-3.646735674
118,SUPER JUNIOR,ì§„ì‹¬ All My Heart,+,+,+,+,-,=,+,-,-,+,-,+,11.54039328,-18.73090506
119,Shaggy,Angel,+,+,+,+,-,=,+,+,-,-,+,+,-7.869468507,-32.15964646
120,Little Mix,No More Sad Songs (feat. Machine Gun Kelly),+,+,+,+,-,-,+,-,+,+,+,+,46.44899528,-8.077345168
121,Drew Baldridge,Drama,+,+,+,=,-,-,+,-,-,+,+,+,-11.10909999,-7.580209485
122,Stray Kids,Mixtape#4,+,+,+,+,-,-,+,-,-,+,-,+,33.08737369,-13.82943827
123,Kid Rock,When It Rains,+,+,+,+,-,=,-,-,+,-,+,+,17.52839117,12.3430578
124,Sin Bandera,KilÃ³metros - Bachata Version,+,+,+,+,-,=,-,+,-,+,+,+,-4.798893552,13.38002673
125,Booker T. Jones,B-A-B-Y,+,+,+,=,-,=,-,+,+,+,+,+,-14.47838921,-5.008754864
126,Big Pun,100% (feat. Tony Sunshine),+,+,+,+,-,-,+,-,-,-,+,+,9.092749323,-15.44524874
127,Sean Paul,No Lie (feat. Dua Lipa),-,+,+,+,-,=,+,-,-,+,-,+,-19.97642224,-16.84746779
