,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
96,Prince,"Computer Blue - Live in Syracuse, NY, 3/30/85",-,+,+,+,-,+,+,+,+,+,+,8.929239605729876,10.849767017381723
97,Punishment Of Luxury,Secrets,-,+,+,+,-,+,+,-,+,+,+,16.93805128297996,-12.887696406201634
98,Savage Garden,TO THE MOON & BACK - Hani's NUM Radio Edit,-,+,+,=,-,-,-,-,+,+,+,2.2229680840608532,4.922777886919555
99,Ratt,Scratch That Itch,-,+,+,+,-,-,-,+,-,+,+,10.53972960642348,9.210206808463186
100,Thin Lizzy,Angel From The Coast,-,+,+,+,-,+,+,+,+,+,+,10.030912722785565,17.35397889262044
101,The String Cheese Incident,Beautiful (Live),-,+,+,+,-,+,+,-,+,+,+,50.06896176589826,1.1187652131399883
102,Wright & Davids feat. Steve Owner,Broken - Dub Mix,-,+,+,+,-,-,-,+,-,+,+,22.24042395058898,-11.473895896392774
103,The Kinks,Bernadette,-,+,+,+,-,+,+,-,+,+,+,21.822000184760306,-2.271117875343963
104,The Cure,Lovesong-09/88) - Band Demo Instrumental - 09/88,-,+,+,+,-,-,+,+,-,+,+,12.507452751602735,9.734292155482263
105,Low Road,Scars Worn Well,-,+,+,+,-,+,-,-,-,-,+,-27.66268847502208,-24.778091787821126
106,Alice In Chains,Again - Trip Hop Mix,-,+,-,=,-,-,-,-,-,+,+,-1.7836052691702162,0.7501465546185946
107,Cody Jinks,Curse the Sky,-,+,+,+,-,+,+,-,+,+,+,-20.19318225504068,19.644818168258634
108,Pantera,A New Level,+,+,+,+,-,+,-,-,-,+,+,1.8715098710479268,40.01712806908006
109,The Cult,Gimmick (Lyceum Live),-,+,+,+,-,+,-,-,+,+,+,20.18914360357769,-1.6719539711134928
110,Metallica,"For Whom The Bell Tolls (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",-,-,+,+,-,+,+,-,+,+,+,13.495174680031221,14.137027481739802
111,Myke Towers,No Sabe Nada,-,+,+,+,-,+,-,-,-,-,+,-19.544651640086236,15.6787283034191
112,Soft Cell,On an Up,-,+,+,=,-,-,+,-,-,+,+,7.797807733294895,-8.07967325147774
113,Soundgarden,Mind Riot,-,+,+,+,-,-,-,+,-,+,+,-31.350150962181907,6.321736293080988
114,Wire,As We Go,-,+,-,+,-,-,-,+,+,+,+,19.03978981802055,-7.153048072073498
115,Madagascar,Rainbow,-,+,+,+,-,-,-,-,+,+,+,-10.700512835788468,-9.906841133591147
116,Lil Yachty,Bring It Back,-,+,+,+,-,+,+,-,-,+,+,-34.81728454447501,11.607028229013855
117,The Vibrators,Pure Mania - Ao Vivo,-,-,+,+,-,+,-,+,+,+,+,48.82577543986202,-3.351805176656505
118,Phish,Have Mercy,-,+,-,+,-,-,+,-,-,+,+,14.533256195195985,1.9955745656067456
119,Britny Fox,Dream On,-,+,+,+,-,-,-,-,+,-,+,-24.266557606127154,-18.69835955956195
120,New Order,Sister Ray,-,+,+,+,-,+,-,+,+,+,+,20.739698963882805,2.6140125504094525
121,Steve Aoki,Are You Lonely,+,+,+,+,-,-,+,-,-,-,+,-45.607875355814244,36.67299834254207
122,MC5,Come Together - Live,-,-,+,+,-,+,-,+,-,-,+,19.739145665178025,-12.14075549345172
123,Ronan Keating,Friends In Time,-,+,+,+,-,-,-,-,+,+,+,-15.368884924870056,-7.011745853493537
124,FosseyTango,War Torn Streets (feat. Glen Matlock),-,+,+,+,-,+,+,-,-,+,+,-15.495736526087912,-21.53478577675438
125,Queen,"Son And Daughter - BBC Session / December 3rd 1973, Langham 1 Studio",-,+,+,+,-,+,+,-,-,+,+,14.310447729257064,6.075364336542795
126,Primus,Coddingtown,-,+,+,+,-,+,+,-,+,+,+,9.097475004296243,10.89511000740721
127,Placebo,Bionic,-,+,+,=,-,-,-,+,-,+,+,-6.839651196055393,24.23970226569594
128,Suduaya,Kundalini,-,+,+,+,-,-,-,+,+,=,+,13.526423646003868,-13.797847472053741
129,Papa Roach,Before I Die,-,+,+,+,-,-,-,-,-,+,+,8.030446095261624,30.27456216425598
130,Angus & Julia Stone,A Heartbreak,-,+,-,=,-,-,+,-,-,+,+,-3.7705963092995716,4.3599290758469165
131,Hindu Love Gods,Mannish Boy,-,+,+,+,-,-,+,-,-,+,+,21.419888622160894,-11.692451522986488
132,White Lion,Lights and Thunder,-,+,+,+,-,+,-,-,-,+,+,16.530889185796543,-9.890738628936267
133,DJ Ton T.B.,Electronic Malfunction,-,+,+,+,-,-,-,+,-,+,+,15.08642074233126,-4.066938279576231
134,Nona,The Sweetest Taboo - Vocal Mix,-,+,+,=,-,+,+,-,-,+,+,6.978992388696146,-15.542415041483736
